id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews
48936420,Sonder *Monthly Discounts* 1BR near New York Stock Exchange,219517861,Sonder (NYC),Manhattan,Financial District,Entire home/apt,297,2,12
41712212,Crown Heights Nice 3rd FL,326064814,Joslin,Brooklyn,Crown Heights,Entire home/apt,200,2,9
50135045,Luxury Chelsea Studio on the High Line.,45060296,Marco,Manhattan,Chelsea,Entire home/apt,160,30,0
1358963,1 Bedroom in Sunny & Spacious Apt.,6776157,Giovanna,Brooklyn,Prospect Heights,Private room,75,30,108
37908855,Top Floor Brownstone Studio one block to Subway,1550888,Miss Carolyn,Brooklyn,Bedford-Stuyvesant,Entire home/apt,75,30,2
74860,"Sunlit and Cozy Williamsburg/Greenpoint, Brooklyn",394752,Allison,Brooklyn,Greenpoint,Entire home/apt,75,30,3
44194926,Banff Room,273301149,Samir,Manhattan,Harlem,Private room,69,30,0
46415385,Private bedroom in prime Bushwick!,375549800,Kristina & Evans,Brooklyn,Bushwick,Private room,40,35,0
50657826,The Sunset private room @theannkelliesuites,348032287,Annkellie,Queens,Hollis,Private room,83,1,1
19348168,Cyn,74033595,Cyn,Brooklyn,Bedford-Stuyvesant,Private room,58,30,1
17478780,The Perfect Queens Getaway!,118400082,Jairo,Queens,Corona,Entire home/apt,163,30,61
25206699,Perfect Apartment - 2 Bedrooms near Grand Central,403307,Rory,Manhattan,Murray Hill,Entire home/apt,175,28,0
34312163,Chic Place,95570540,Ilene,Staten Island,Oakwood,Entire home/apt,130,2,9
41563781,studio in the Kut Kave,39399272,Knight,Brooklyn,Bushwick,Entire home/apt,133,2,52
35896695,Private basement studio with backyard access.,1576926,Michael,Brooklyn,Bedford-Stuyvesant,Private room,50,30,24
50045106,"Airy Murray Hill 1BR w/ Private Terrace, Doorman, Elevator, by Blueground",107434423,Blueground,Manhattan,Midtown,Entire home/apt,317,30,0
43831692,3-BEDROOM APARTMENT AT UPPER EAST SIDE MANHATTAN,156295223,Abigael,Manhattan,Upper East Side,Entire home/apt,400,30,2
31206698,Bay Ridge House near park and water,10198498,Heather,Brooklyn,Bay Ridge,Entire home/apt,130,11,9
3652230,Bay Beauty - Room Looking Over The Water!,681225,Haya,Queens,Rockaway Beach,Private room,121,30,51
49360812,Magnificent 1BR APT | Full Kitchen | Laundry | Gym,30283594,Global Luxury Suites,Manhattan,Hell's Kitchen,Entire home/apt,200,90,0
48622314,Cute Room Besides Central Park West,176809727,Cristian,Manhattan,Upper West Side,Private room,90,1,1
32406935,Bushwick Bklyn Sunny Apt available for long stay,131476075,Lakisha,Brooklyn,Bushwick,Entire home/apt,171,1,68
18120946,2nd Floor of Duplex (Private Entrance + Bathroom),9909635,Vadim,Brooklyn,Bedford-Stuyvesant,Private room,250,2,75
9965305,Beautiful room in Brooklyn,887115,Liis,Brooklyn,Crown Heights,Private room,90,1,1
40371175,*Luxury Duplex Loft* across from Flatiron Building,188892696,Omair,Manhattan,Flatiron District,Entire home/apt,499,4,12
9043905,"Bright, Charming APT in West Village/SoHo",3331710,Amy,Manhattan,Greenwich Village,Entire home/apt,200,30,29
44757915,2 bedroom apartment across from Central Park,311400964,G.,Manhattan,Harlem,Entire home/apt,99,60,1
8398566,Room in 1-Br by Columbus Circle,43779028,Allan,Manhattan,Upper West Side,Private room,90,2,2
253815,Studio Loft,417504,The Box House Hotel,Brooklyn,Greenpoint,Entire home/apt,263,3,56
48100962,"Central & Quiet SoHo 1BR w/ W/D, New Appliances, by Blueground",107434423,Blueground,Manhattan,SoHo,Entire home/apt,316,30,0
31106961,Amazing apartment,93412728,Mor,Brooklyn,Williamsburg,Private room,70,30,0
49272338,Sun-drenched Brooklyn Retreat,2989773,Megan,Brooklyn,Bedford-Stuyvesant,Entire home/apt,148,3,3
18294238,New tidy  room attached by PRIVATE FULL BATH,120767920,Jimmy &Cindy,Queens,Flushing,Private room,56,3,117
11545797,Cozy room with queen bed in 4b,8167445,Pedro,Brooklyn,Bedford-Stuyvesant,Private room,55,30,10
49124587,Hotel Room King Bed Chelsea,383332265,Michelle,Manhattan,Chelsea,Private room,413,1,2
30325639,Cozy shared studio in a safe neighborhood,21495656,Ramy,Queens,Little Neck,Shared room,42,30,1
50068846,Charming & Modern 1-bd w/ Balcony & Bridge Views,115930468,Anthony,Brooklyn,Fort Hamilton,Entire home/apt,290,2,0
13959346,Room Available in Heart of Fort Greene,83156877,Nick,Brooklyn,Fort Greene,Private room,135,30,0
