,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
545,Isaiah Roby,SF,21,OKC,3,0,11,0.0,3.3,.000,0.0,0.0,,0.0,3.3,.000,0.0,0.0,,0.0,6.5,6.5,0.0,0.0,0.0,3.3,3.3,0.0
546,Rajon Rondo,PG,33,LAL,48,3,984,5.0,12.0,.418,1.5,4.6,.328,3.5,7.4,.473,1.0,1.5,.659,0.8,4.4,5.2,8.8,1.5,0.1,3.3,2.1,12.5
547,Derrick Rose,PG,31,DET,50,15,1298,10.2,20.9,.490,1.2,4.1,.306,9.0,16.8,.535,3.4,3.9,.871,0.7,2.6,3.4,7.7,1.1,0.4,3.5,1.4,25.1
548,Terrence Ross,SG,28,ORL,69,0,1889,6.5,16.1,.403,3.4,9.6,.351,3.1,6.5,.480,3.0,3.5,.853,0.2,4.0,4.2,1.6,1.5,0.5,1.3,2.1,19.4
549,Terry Rozier,PG,25,CHO,63,63,2164,6.6,15.7,.423,2.9,7.0,.407,3.8,8.6,.436,2.8,3.2,.874,0.8,3.8,4.6,4.3,1.0,0.2,2.3,2.1,18.9
550,Ricky Rubio,PG,29,PHO,65,65,2016,5.1,12.4,.415,1.4,3.9,.361,3.7,8.5,.439,3.5,4.0,.863,0.8,4.6,5.4,10.2,1.7,0.2,3.1,3.0,15.1
551,D'Angelo Russell,PG,23,TOT,45,45,1452,8.9,21.0,.426,3.9,10.7,.367,5.0,10.3,.487,4.0,4.9,.809,0.4,4.0,4.4,7.1,1.2,0.3,3.6,2.1,25.8
552,D'Angelo Russell,PG,23,GSW,33,33,1060,9.3,21.6,.430,4.1,10.9,.374,5.2,10.7,.487,3.8,4.9,.785,0.5,3.7,4.1,7.0,1.1,0.3,3.4,2.2,26.5
553,D'Angelo Russell,PG,23,MIN,12,12,392,8.0,19.4,.412,3.5,10.1,.345,4.5,9.3,.485,4.4,5.1,.873,0.3,4.8,5.1,7.3,1.6,0.4,4.2,2.0,23.9
554,Domantas Sabonis,PF,23,IND,62,62,2159,7.6,14.1,.540,0.3,1.1,.254,7.4,13.0,.565,3.6,4.9,.723,3.2,9.7,12.9,5.2,0.8,0.5,2.8,3.3,19.1
555,Luka Šamanić,PF,20,SAS,3,1,48,3.7,12.0,.313,2.3,6.0,.375,1.5,6.0,.250,2.3,3.0,.750,0.7,6.8,7.5,4.5,0.0,1.5,1.5,4.5,12.0
556,JaKarr Sampson,SF,26,IND,34,12,471,5.2,8.8,.591,0.2,1.0,.154,5.0,7.8,.647,1.4,2.1,.667,1.5,5.2,6.7,1.6,1.2,0.9,1.1,4.9,11.9
557,Dario Šarić,PF,25,PHO,66,51,1632,5.6,11.9,.476,1.9,5.2,.357,3.8,6.7,.568,2.4,2.8,.844,2.2,6.8,9.0,2.7,0.8,0.4,1.9,3.4,15.5
558,Tomáš Satoranský,PG,28,CHI,65,64,1878,4.5,10.6,.430,1.2,3.8,.322,3.3,6.7,.491,2.0,2.3,.876,1.5,3.4,4.9,6.8,1.5,0.1,2.5,2.6,12.3
559,Admiral Schofield,SF,22,WAS,33,2,368,3.4,9.0,.380,1.9,6.0,.311,1.6,3.0,.516,1.0,1.5,.667,0.7,3.9,4.6,1.5,0.8,0.4,0.7,4.9,9.7
560,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,Dennis Schröder,PG,26,OKC,65,2,1999,8.2,17.4,.469,2.3,5.9,.385,5.9,11.5,.513,3.6,4.3,.839,0.3,3.9,4.3,4.7,0.8,0.3,3.0,2.6,22.1
562,Mike Scott,PF,31,PHI,68,11,1207,4.4,10.4,.426,2.4,6.5,.369,2.1,4.0,.519,0.9,1.1,.811,1.9,5.5,7.4,1.7,0.6,0.1,0.8,2.9,12.2
563,Thabo Sefolosha,PF,35,HOU,41,0,436,3.1,7.5,.407,1.2,4.5,.278,1.8,3.1,.595,0.2,0.7,.375,1.7,5.9,7.7,2.1,2.0,1.0,1.2,3.6,7.6
564,Collin Sexton,SG,21,CLE,65,65,2143,8.6,18.2,.472,1.6,4.3,.380,7.0,14.0,.501,3.8,4.5,.846,1.0,2.4,3.4,3.2,1.1,0.1,2.7,2.4,22.7
565,Landry Shamet,SG,22,LAC,53,30,1452,3.9,9.7,.404,2.8,7.3,.375,1.2,2.4,.495,1.6,1.9,.855,0.1,2.3,2.5,2.5,0.5,0.2,1.0,3.5,12.2
566,Marial Shayok,SG,24,PHI,4,0,28,3.9,15.4,.250,2.6,7.7,.333,1.3,7.7,.167,3.9,5.1,.750,1.3,7.7,9.0,1.3,0.0,1.3,3.9,5.1,14.1
567,Iman Shumpert,SG,29,BRK,13,0,241,3.1,9.6,.328,1.2,4.9,.242,1.9,4.6,.419,0.6,1.0,.571,1.3,3.7,5.1,1.8,1.8,0.3,1.5,3.1,8.1
568,Pascal Siakam,PF,25,TOR,60,60,2110,8.5,18.8,.453,2.2,6.2,.359,6.3,12.6,.499,4.1,5.2,.792,1.1,6.4,7.5,3.5,1.0,0.9,2.5,2.9,23.4
569,Chris Silva,PF,23,MIA,44,0,346,5.0,8.1,.615,0.0,0.3,.000,5.0,7.8,.640,3.8,5.7,.673,6.2,6.9,13.1,2.4,0.9,2.2,3.3,8.8,13.8
570,Ben Simmons,PG,23,PHI,57,57,2017,6.7,11.5,.580,0.0,0.1,.286,6.7,11.4,.583,3.3,5.3,.621,2.0,5.9,7.9,8.1,2.1,0.6,3.6,3.3,16.7
571,Anfernee Simons,SG,20,POR,70,4,1449,5.3,13.3,.399,1.9,5.6,.332,3.5,7.7,.448,1.9,2.3,.826,0.6,3.2,3.8,2.4,0.6,0.2,1.5,3.4,14.4
572,Alen Smailagić,PF,19,GSW,14,0,139,5.2,10.4,.500,0.8,3.4,.231,4.4,7.0,.630,4.1,4.9,.842,2.6,4.4,7.0,3.4,0.8,1.0,2.8,3.6,15.3
573,Marcus Smart,SG,25,BOS,60,40,1919,4.8,12.8,.375,2.6,7.4,.347,2.2,5.4,.415,2.4,2.9,.836,0.8,3.4,4.2,5.5,1.9,0.5,1.9,3.0,14.6
574,Dennis Smith Jr.,PG,22,NYK,34,3,537,4.8,14.1,.341,1.1,3.6,.296,3.8,10.5,.357,1.8,3.6,.509,1.4,3.8,5.2,6.6,1.9,0.5,3.9,4.4,12.5
575,Ish Smith,PG,31,WAS,68,23,1787,6.2,13.9,.447,1.2,3.4,.367,5.0,10.5,.473,1.2,1.7,.721,0.6,3.8,4.4,6.7,1.2,0.6,1.9,2.1,14.9
576,J.R. Smith,SG,34,LAL,6,0,79,3.2,10.0,.318,0.5,5.0,.091,2.7,5.0,.545,0.9,0.9,1.000,0.0,2.3,2.3,1.4,0.5,0.0,1.8,2.3,7.7
577,Zhaire Smith,SG,20,PHI,7,0,32,3.4,12.4,.273,0.0,3.4,.000,3.4,9.0,.375,2.3,4.5,.500,0.0,2.3,2.3,2.3,3.4,0.0,2.3,4.5,9.0
578,Tony Snell,SF,28,DET,59,57,1641,3.7,8.4,.445,2.2,5.6,.402,1.5,2.8,.531,0.7,0.7,1.000,0.2,2.2,2.4,2.8,0.7,0.3,0.7,2.2,10.4
579,Omari Spellman,PF,22,GSW,49,3,886,5.2,12.0,.431,1.7,4.5,.391,3.4,7.5,.454,3.0,3.7,.793,3.1,5.8,8.9,1.9,1.3,1.0,2.2,2.6,15.0
580,Max Strus,SG,23,CHI,2,0,6,12.0,18.0,.667,0.0,6.0,.000,12.0,12.0,1.000,6.0,6.0,1.000,6.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,30.0
581,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,Edmond Sumner,PG,24,IND,31,3,447,4.9,11.4,.430,1.1,4.3,.264,3.8,7.2,.528,1.3,2.3,.552,0.9,2.8,3.7,4.4,1.2,0.7,1.8,3.5,12.2
