,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
325,Josh Jackson,SG,22,MEM,22,0,381,8.6,19.5,.440,2.8,8.8,.319,5.8,10.7,.540,4.3,6.1,.700,1.3,6.7,8.1,4.3,2.2,1.1,3.4,4.9,24.3,,103,109
326,Justin Jackson,PF,24,DAL,65,3,1045,6.2,15.8,.396,2.2,7.5,.294,4.0,8.2,.489,1.9,2.3,.840,1.2,5.9,7.1,2.4,0.7,0.5,0.6,3.2,16.6,,108,115
327,Reggie Jackson,PG,29,TOT,31,16,743,8.7,21.2,.411,3.7,9.4,.393,5.0,11.8,.425,2.9,3.5,.833,1.1,4.9,6.0,8.2,0.8,0.3,3.3,3.8,24.0,,108,114
328,Reggie Jackson,PG,29,DET,14,10,381,9.8,25.6,.384,4.0,10.6,.378,5.8,15.0,.388,3.4,4.3,.788,1.4,3.9,5.3,9.3,1.0,0.1,3.0,2.7,27.0,,106,117
329,Reggie Jackson,PG,29,LAC,17,6,362,7.6,16.7,.453,3.4,8.2,.413,4.2,8.5,.492,2.5,2.7,.905,0.8,5.9,6.7,7.1,0.7,0.5,3.7,5.0,21.0,,111,111
330,Justin James,SG,23,SAC,36,0,232,7.3,17.6,.417,1.9,6.1,.310,5.4,11.5,.473,2.1,4.4,.476,1.3,5.4,6.7,3.8,1.3,1.9,1.7,3.6,18.6,,99,112
331,LeBron James,PG,35,LAL,67,67,2316,13.2,26.8,.493,3.0,8.7,.348,10.2,18.0,.564,5.4,7.8,.693,1.4,9.4,10.8,14.0,1.6,0.7,5.4,2.4,34.9,,116,106
332,Amile Jefferson,PF,26,ORL,18,0,74,3.3,9.2,.357,0.0,0.0,,3.3,9.2,.357,3.3,9.2,.357,6.6,8.6,15.1,2.6,0.7,2.0,2.0,4.6,9.9,,95,110
333,DaQuan Jeffries,SG,22,SAC,13,0,141,6.9,13.8,.500,1.7,6.2,.278,5.2,7.6,.682,1.7,2.1,.833,1.0,5.2,6.2,2.4,1.4,0.3,0.7,6.5,17.2,,121,114
334,Ty Jerome,PG,22,PHO,31,0,328,5.5,16.3,.336,2.0,7.2,.280,3.5,9.1,.381,1.7,2.3,.750,1.0,5.6,6.6,6.4,2.2,0.4,2.6,4.2,14.7,,92,111
335,Alize Johnson,SF,23,IND,17,1,118,4.9,11.9,.414,1.2,3.3,.375,3.7,8.6,.429,2.9,4.1,.700,6.6,13.2,19.7,2.9,1.2,0.8,2.9,4.9,14.0,,108,105
336,B.J. Johnson,SF,24,ORL,10,0,83,5.3,18.8,.281,1.8,5.3,.333,3.5,13.5,.261,5.3,5.9,.900,1.8,7.0,8.8,1.8,1.8,0.0,3.5,1.8,17.6,,81,111
337,Cameron Johnson,PF,23,PHO,57,9,1255,6.6,15.3,.435,4.0,10.3,.390,2.6,5.0,.526,1.7,2.2,.807,1.8,5.2,7.1,2.6,1.4,0.8,1.2,3.3,19.0,,117,113
338,James Johnson,PF,32,TOT,32,1,619,7.9,16.5,.479,2.5,7.0,.363,5.4,9.5,.565,2.4,3.7,.646,1.9,7.1,9.1,5.7,1.9,2.5,3.7,6.1,20.7,,107,108
339,James Johnson,PF,32,MIA,18,0,281,6.8,15.1,.448,2.8,7.8,.356,4.0,7.3,.548,1.4,2.4,.571,1.4,7.6,9.0,3.6,1.0,2.3,2.6,5.9,17.7,,103,109
340,James Johnson,PF,32,MIN,14,1,338,8.8,17.6,.500,2.3,6.3,.370,6.5,11.3,.573,3.2,4.7,.676,2.3,6.7,9.1,7.3,2.6,2.6,4.5,6.3,23.1,,109,108
341,Keldon Johnson,SF,20,SAS,17,1,301,8.4,14.1,.596,2.1,3.5,.591,6.4,10.6,.597,5.6,7.0,.795,1.6,7.5,9.0,2.4,2.2,0.3,2.1,4.4,24.4,,131,113
342,Stanley Johnson,PF,23,TOR,25,0,150,7.0,18.7,.373,2.2,7.6,.292,4.8,11.1,.429,2.9,5.1,.563,2.2,9.5,11.7,6.3,1.9,1.3,4.8,5.1,19.0,,90,103
343,Tyler Johnson,SG,27,TOT,39,7,709,6.5,16.7,.388,2.5,7.9,.319,3.9,8.8,.450,2.8,3.3,.840,1.2,3.9,5.1,4.9,1.1,0.6,1.9,3.9,18.3,,105,114
344,Tyler Johnson,SG,27,PHO,31,3,515,6.0,15.7,.380,2.2,7.6,.289,3.8,8.1,.466,2.2,2.9,.750,0.9,3.9,4.8,4.6,1.1,0.7,2.2,4.0,16.4,,98,114
345,Tyler Johnson,SG,27,BRK,8,4,194,7.8,19.3,.405,3.4,8.8,.389,4.4,10.5,.419,4.4,4.4,1.000,2.0,3.9,5.9,5.9,1.0,0.2,1.2,3.7,23.4,,121,113
346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Nikola Jokić,C,24,DEN,73,73,2336,12.0,22.7,.528,1.7,5.4,.314,10.3,17.3,.594,5.2,6.4,.817,3.5,11.5,15.0,10.8,1.8,0.9,4.8,4.7,30.8,,119,108
348,Damian Jones,C,24,ATL,55,27,887,6.4,9.4,.680,0.1,0.5,.222,6.3,8.9,.704,3.3,4.4,.738,3.9,6.9,10.8,1.8,1.4,2.1,1.5,7.8,16.1,,138,113
349,Derrick Jones Jr.,SF,22,MIA,59,16,1375,6.5,12.4,.527,1.3,4.7,.280,5.2,7.7,.677,3.4,4.4,.772,2.3,5.9,8.3,2.2,2.1,1.3,1.1,4.6,17.7,,126,109
