,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
176,DeMar DeRozan,SF,30,SAS,68,2316,,,71%,29%,,-2.5,-4.1,60,62,84,19,216,11,969,51,64
177,Cheick Diallo,C,23,PHO,47,479,,,,18%,82%,-5.7,-7.0,13,6,33,5,17,3,50,3,11
178,Hamidou Diallo,SF,21,OKC,46,896,,19%,71%,10%,,1.0,-1.0,16,16,47,13,34,19,92,10,21
179,Gorgui Dieng,C,30,TOT,63,1096,,,,5%,95%,-3.3,-0.8,17,10,61,10,38,20,177,8,23
180,Gorgui Dieng,C,30,MIN,46,778,,,,3%,98%,-5.3,-0.9,13,7,46,7,24,16,142,4,17
181,Gorgui Dieng,C,30,MEM,17,318,,,,12%,88%,1.6,2.5,4,3,15,3,14,4,35,4,6
182,Spencer Dinwiddie,SG,26,BRK,64,1994,40%,57%,3%,,,0.8,3.2,103,22,64,30,201,14,1033,40,53
183,Donte DiVincenzo,SG,23,MIL,66,1520,33%,64%,3%,,,13.3,5.8,49,22,47,11,32,21,360,4,27
184,Luka Dončić,PG,20,DAL,61,2047,77%,23%,,,,5.4,1.2,153,62,49,34,248,11,1320,80,67
185,Luguentz Dort,SG,20,OKC,36,820,3%,21%,74%,2%,,3.6,2.5,10,4,43,2,26,21,64,9,12
186,Damyean Dotson,SG,25,NYK,48,836,3%,81%,16%,,,-4.6,2.4,13,4,28,1,13,5,144,2,7
187,Sekou Doumbouya,SF,19,DET,38,754,,,15%,86%,,-10.9,-8.9,3,9,29,10,28,3,45,10,27
188,PJ Dozier,PG,23,DEN,29,412,50%,43%,6%,,,-4.9,-8.1,16,4,14,5,13,6,153,2,9
189,Goran Dragić,PG,33,MIA,59,1663,100%,,,,,3.3,0.8,87,24,46,17,77,18,718,14,27
190,Andre Drummond,C,26,TOT,57,1879,,,,,100%,-5.9,0.3,68,53,83,41,142,7,374,31,93
191,Andre Drummond,C,26,DET,49,1654,,,,,100%,-4.4,-0.5,56,47,70,35,122,7,341,24,82
